




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (6217)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
respiratory chain complex IV assembly (GO:0008535)	26	21	7.85	+	2.68	1.39E-03	3.83E-02
maturation of 5.8S rRNA (GO:0000460)	35	27	10.57	+	2.56	4.04E-04	1.31E-02
virion assembly (GO:0019068)	39	30	11.77	+	2.55	2.60E-04	8.82E-03
multivesicular body assembly (GO:0036258)	30	23	9.06	+	2.54	1.55E-03	4.19E-02
mitochondrial RNA metabolic process (GO:0000959)	41	31	12.38	+	2.50	2.05E-04	7.17E-03
multivesicular body organization (GO:0036257)	31	23	9.36	+	2.46	1.75E-03	4.63E-02
termination of RNA polymerase II transcription (GO:0006369)	40	29	12.07	+	2.40	4.99E-04	1.57E-02
viral transcription (GO:0019083)	116	84	35.02	+	2.40	3.39E-09	2.71E-07
cytochrome complex assembly (GO:0017004)	36	26	10.87	+	2.39	1.25E-03	3.49E-02
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	96	69	28.98	+	2.38	1.28E-07	8.04E-06
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	120	86	36.22	+	2.37	3.41E-09	2.71E-07
translational elongation (GO:0006414)	127	91	38.34	+	2.37	1.23E-09	1.04E-07
mitochondrial translational elongation (GO:0070125)	88	63	26.56	+	2.37	5.02E-07	2.96E-05
RNA phosphodiester bond hydrolysis, exonucleolytic (GO:0090503)	42	30	12.68	+	2.37	6.26E-04	1.93E-02
protein targeting to ER (GO:0045047)	112	80	33.81	+	2.37	1.33E-08	9.56E-07
cotranslational protein targeting to membrane (GO:0006613)	101	72	30.49	+	2.36	9.32E-08	5.99E-06
ribosomal large subunit biogenesis (GO:0042273)	72	51	21.73	+	2.35	7.75E-06	3.60E-04
establishment of protein localization to endoplasmic reticulum (GO:0072599)	116	82	35.02	+	2.34	1.34E-08	9.58E-07
cytoplasmic translation (GO:0002181)	122	86	36.83	+	2.34	6.84E-09	5.18E-07
mitochondrial gene expression (GO:0140053)	142	100	42.87	+	2.33	3.02E-10	2.74E-08
snRNA transcription (GO:0009301)	71	50	21.43	+	2.33	1.09E-05	4.99E-04
snRNA transcription by RNA polymerase II (GO:0042795)	70	49	21.13	+	2.32	1.55E-05	6.84E-04
translational initiation (GO:0006413)	143	100	43.17	+	2.32	5.05E-10	4.36E-08
mitochondrial translational termination (GO:0070126)	89	62	26.87	+	2.31	9.36E-07	5.10E-05
mitochondrial translation (GO:0032543)	112	78	33.81	+	2.31	5.25E-08	3.49E-06
ribosome assembly (GO:0042255)	62	43	18.72	+	2.30	6.11E-05	2.43E-03
spliceosomal snRNP assembly (GO:0000387)	39	27	11.77	+	2.29	1.21E-03	3.40E-02
translational termination (GO:0006415)	97	66	29.28	+	2.25	8.75E-07	4.80E-05
nuclear-transcribed mRNA catabolic process (GO:0000956)	195	132	58.86	+	2.24	3.41E-12	3.66E-10
mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	49	33	14.79	+	2.23	5.58E-04	1.75E-02
rRNA processing (GO:0006364)	262	176	79.09	+	2.23	1.32E-15	2.02E-13
ribosomal small subunit biogenesis (GO:0042274)	73	49	22.04	+	2.22	3.31E-05	1.38E-03
viral gene expression (GO:0019080)	172	114	51.92	+	2.20	3.10E-10	2.80E-08
rRNA metabolic process (GO:0016072)	272	180	82.11	+	2.19	2.16E-15	3.22E-13
ncRNA transcription (GO:0098781)	94	62	28.38	+	2.18	3.70E-06	1.85E-04
ribosome biogenesis (GO:0042254)	329	217	99.32	+	2.18	3.79E-18	7.14E-16
ribonucleoprotein complex subunit organization (GO:0071826)	196	129	59.17	+	2.18	3.03E-11	3.00E-09
ribonucleoprotein complex biogenesis (GO:0022613)	462	301	139.46	+	2.16	3.13E-24	1.03E-21
ribonucleoprotein complex assembly (GO:0022618)	189	123	57.05	+	2.16	1.27E-10	1.19E-08
protein localization to endoplasmic reticulum (GO:0070972)	143	93	43.17	+	2.15	2.45E-08	1.67E-06
intracellular transport of virus (GO:0075733)	54	35	16.30	+	2.15	6.10E-04	1.89E-02
mRNA catabolic process (GO:0006402)	215	139	64.90	+	2.14	1.00E-11	1.02E-09
translation (GO:0006412)	387	249	116.82	+	2.13	8.52E-20	1.95E-17
spliceosomal complex assembly (GO:0000245)	56	36	16.90	+	2.13	7.04E-04	2.14E-02
tRNA processing (GO:0008033)	134	86	40.45	+	2.13	1.27E-07	7.99E-06
mitochondrial respiratory chain complex assembly (GO:0033108)	101	64	30.49	+	2.10	6.97E-06	3.28E-04
mRNA destabilization (GO:0061157)	90	57	27.17	+	2.10	2.09E-05	9.11E-04
ncRNA processing (GO:0034470)	436	276	131.62	+	2.10	5.71E-21	1.43E-18
tRNA metabolic process (GO:0006399)	190	119	57.36	+	2.07	1.52E-09	1.27E-07
RNA catabolic process (GO:0006401)	248	155	74.86	+	2.07	4.54E-12	4.72E-10
RNA methylation (GO:0001510)	88	55	26.56	+	2.07	3.91E-05	1.62E-03
cellular protein complex disassembly (GO:0043624)	138	86	41.66	+	2.06	3.93E-07	2.37E-05
transport of virus (GO:0046794)	61	38	18.41	+	2.06	7.25E-04	2.19E-02
protein targeting to membrane (GO:0006612)	182	113	54.94	+	2.06	5.57E-09	4.28E-07
peptide biosynthetic process (GO:0043043)	414	257	124.97	+	2.06	7.64E-19	1.61E-16
DNA-templated transcription, termination (GO:0006353)	79	49	23.85	+	2.05	1.32E-04	4.86E-03
multi-organism localization (GO:1902579)	63	39	19.02	+	2.05	5.95E-04	1.85E-02
multi-organism transport (GO:0044766)	63	39	19.02	+	2.05	5.95E-04	1.85E-02
RNA destabilization (GO:0050779)	94	58	28.38	+	2.04	4.16E-05	1.72E-03
protein K48-linked ubiquitination (GO:0070936)	60	37	18.11	+	2.04	9.95E-04	2.88E-02
nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:0000288)	60	37	18.11	+	2.04	9.95E-04	2.87E-02
mRNA 3'-end processing (GO:0031124)	88	54	26.56	+	2.03	8.29E-05	3.19E-03
tRNA modification (GO:0006400)	93	57	28.07	+	2.03	5.68E-05	2.28E-03
ATP-dependent chromatin remodeling (GO:0043044)	77	47	23.24	+	2.02	2.45E-04	8.46E-03
ncRNA metabolic process (GO:0034660)	521	317	157.27	+	2.02	5.65E-22	1.54E-19
mRNA splicing, via spliceosome (GO:0000398)	303	184	91.47	+	2.01	3.16E-13	3.81E-11
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	303	184	91.47	+	2.01	3.16E-13	3.78E-11
ribonucleoprotein complex localization (GO:0071166)	127	77	38.34	+	2.01	3.60E-06	1.80E-04
RNA splicing, via transesterification reactions (GO:0000375)	306	185	92.37	+	2.00	3.89E-13	4.59E-11
ribonucleoprotein complex export from nucleus (GO:0071426)	126	76	38.04	+	2.00	4.87E-06	2.36E-04
aerobic electron transport chain (GO:0019646)	88	53	26.56	+	2.00	1.22E-04	4.54E-03
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	93	56	28.07	+	1.99	8.26E-05	3.19E-03
ATP synthesis coupled electron transport (GO:0042773)	93	56	28.07	+	1.99	8.26E-05	3.18E-03
mRNA export from nucleus (GO:0006406)	110	66	33.21	+	1.99	2.06E-05	9.06E-04
mRNA-containing ribonucleoprotein complex export from nucleus (GO:0071427)	110	66	33.21	+	1.99	2.06E-05	9.03E-04
positive regulation of viral process (GO:0048524)	89	53	26.87	+	1.97	1.36E-04	5.00E-03
DNA damage response, signal transduction by p53 class mediator (GO:0030330)	79	47	23.85	+	1.97	4.15E-04	1.34E-02
oxidative phosphorylation (GO:0006119)	120	71	36.22	+	1.96	1.38E-05	6.18E-04
RNA 3'-end processing (GO:0031123)	142	84	42.87	+	1.96	2.36E-06	1.21E-04
RNA export from nucleus (GO:0006405)	124	73	37.43	+	1.95	1.26E-05	5.66E-04
mitotic G1 DNA damage checkpoint signaling (GO:0031571)	70	41	21.13	+	1.94	1.01E-03	2.91E-02
nuclear export (GO:0051168)	166	97	50.11	+	1.94	4.83E-07	2.88E-05
mRNA metabolic process (GO:0016071)	697	407	210.40	+	1.93	1.52E-25	5.58E-23
RNA processing (GO:0006396)	930	543	280.74	+	1.93	5.13E-34	3.00E-31
positive regulation of mRNA catabolic process (GO:0061014)	105	61	31.70	+	1.92	9.09E-05	3.45E-03
respiratory electron transport chain (GO:0022904)	112	65	33.81	+	1.92	4.94E-05	2.01E-03
