seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	762617	762898	282	*	X00001	643837	762971	794826	31856	+	72	upstream	72	LINC01128
chr1	762617	762898	282	*	X00001	79854	761586	762902	1317	-	0	inside	3	LINC00115
chr1	763043	763320	278	*	X00002	643837	762971	794826	31856	+	0	inside	71	LINC01128
chr1	763043	763320	278	*	X00002	79854	761586	762902	1317	-	140	upstream	140	LINC00115
chr1	859217	859231	15	*	X00004	148398	860530	879961	19432	+	1298	upstream	1298	SAMD11
chr1	894549	894874	326	*	X00005	26155	879583	894679	15097	-	0	overlapStart	0	NOC2L
chr1	894549	894874	326	*	X00005	339451	895967	901099	5133	+	1092	upstream	1092	KLHL17
chr1	955131	955152	22	*	X00007	375790	955503	991499	35997	+	350	upstream	350	AGRN
chr1	955186	955222	37	*	X00008	375790	955503	991499	35997	+	280	upstream	280	AGRN
chr1	1051480	1051521	42	*	X00011	54991	1017198	1051736	34539	-	0	inside	214	C1orf159
chr1	1051540	1051762	223	*	X00012	54991	1017198	1051736	34539	-	0	overlapStart	0	C1orf159
chr1	1051802	1051855	54	*	X00013	54991	1017198	1051736	34539	-	65	upstream	65	C1orf159
chr1	1167214	1167654	441	*	X00014	126792	1167629	1170420	2792	+	0	overlapStart	0	B3GALT6
chr1	1167214	1167654	441	*	X00014	51150	1152288	1167447	15160	-	0	overlapStart	0	SDF4
chr1	1167668	1167678	11	*	X00015	126792	1167629	1170420	2792	+	0	inside	38	B3GALT6
chr1	1167668	1167678	11	*	X00015	51150	1152288	1167447	15160	-	220	upstream	220	SDF4
chr1	1167865	1168111	247	*	X00016	126792	1167629	1170420	2792	+	0	inside	235	B3GALT6
chr1	1167865	1168111	247	*	X00016	51150	1152288	1167447	15160	-	417	upstream	417	SDF4
chr1	1209175	1209361	187	*	X00017	118424	1189292	1209234	19943	-	0	overlapStart	0	UBE2J2
chr1	1243341	1243379	39	*	X00018	126789	1243994	1247057	3064	+	614	upstream	614	PUSL1
chr1	1243682	1244153	472	*	X00019	126789	1243994	1247057	3064	+	0	overlapStart	0	PUSL1
chr1	1310439	1311003	565	*	X00021	54998	1309110	1310818	1709	-	0	overlapStart	0	AURKAIP1
chr1	1342495	1342817	323	*	X00022	55052	1337276	1342693	5418	-	0	overlapStart	0	MRPL20
chr1	1370752	1371193	442	*	X00023	64856	1370903	1378262	7360	+	0	overlapStart	0	VWA1
chr1	1447457	1447475	19	*	X00024	55210	1447523	1470067	22545	+	47	upstream	47	ATAD3A
chr1	1447659	1447689	31	*	X00025	55210	1447523	1470067	22545	+	0	inside	135	ATAD3A
chr1	1447707	1447735	29	*	X00026	55210	1447523	1470067	22545	+	0	inside	183	ATAD3A
chr1	1510248	1510398	151	*	X00027	29101	1477053	1510262	33210	-	0	overlapStart	0	SSU72
chr1	1535112	1535219	108	*	X00030	643988	1533388	1535476	2089	-	0	inside	256	FNDC10
chr1	1655747	1655857	111	*	X00039	728642	1634170	1655791	21622	-	0	overlapStart	0	CDK11A
chr1	1655747	1655857	111	*	X00039	984	1571100	1655775	84676	-	0	overlapStart	0	CDK11B
